Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
clindamycin,Access group antibiotics,"Oral > Liquid: 75 mg per 5 mL (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride) capsule
Parenteral > General injections > unspecified: 150 mg per  mL (as phosphate) injection
Parenteral > General injections > IV: 150 mg per  mL (as phosphate); 600 mg per 4 mL (as phosphate); 900 mg per 6 mL (as phosphate)
Oral > Liquid: 75 mg per 5 mL powder for oral liquid (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride)",Bacterial infection of joint,J01FF01,,Added,clindamycin,['clindamycin']
clindamycin,Access group antibiotics,"Oral > Liquid: 75 mg per 5 mL (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride) capsule
Parenteral > General injections > unspecified: 150 mg per  mL (as phosphate) injection
Parenteral > General injections > IV: 150 mg per  mL (as phosphate); 600 mg per 4 mL (as phosphate); 900 mg per 6 mL (as phosphate)
Oral > Liquid: 75 mg per 5 mL powder for oral liquid (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride)",Osteomyelitis or osteitis,J01FF01,,Added,clindamycin,['clindamycin']
clofazimine,Antituberculosis medicines,Oral > Solid: 100 mg; 50 mg,Multi-drug resistant Mycobacterium tuberculosis,J04BA01,,Added,clofazimine,['clofazimine']
clofazimine,Antileprosy medicines,Oral > Solid: 100 mg; 50 mg,Leprosy,J04BA01,,Added,clofazimine,['clofazimine']
clomifene,Ovulation inducers,Oral > Solid: 50 mg (citrate),Female infertility without specification whether primary or secondary,G03GB02,,Added,clomifene,['clomifene']
clomipramine,Medicines for obsessive compulsive disorders,Oral > Solid: 10 mg (hydrochloride); 25 mg (hydrochloride),Obsessive-compulsive disorder,N06AA04,,Added,clomipramine,['clomipramine']
clopidogrel,Anti-platelet medicines,Oral > Solid: 75 mg; 300 mg,Acute ischaemic heart disease,B01AC04,,Added,clopidogrel,['clopidogrel']
clopidogrel,Anti-platelet medicines,Oral > Solid: 75 mg; 300 mg,Presence of coronary angioplasty implant or graft,B01AC04,,Added,clopidogrel,['clopidogrel']
clotrimazole,Antifungal medicines,Local > Topical > Other: 1% vaginal cream; 10% vaginal cream; 100 mg vaginal tablet; 500 mg vaginal tablet,Vulvovaginal candidosis,G01AF02,,Added,clotrimazole,['clotrimazole']
cloxacillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid
Oral > Solid: 500 mg (as sodium salt) capsule; 1 g (as sodium salt) capsule
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid; 250 mg per 5 mL (as sodium salt) powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 250 mg in vial (as sodium salt) powder for injection
Oral > Solid > capsule: 500 mg (as sodium salt); 1 g (as sodium salt); 250 mg (as sodium salt)","Bacterial cellulitis, erysipelas or lymphangitis",J01CF02,,Added,cloxacillin,['cloxacillin']
cloxacillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid
Oral > Solid: 500 mg (as sodium salt) capsule; 1 g (as sodium salt) capsule
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid; 250 mg per 5 mL (as sodium salt) powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 250 mg in vial (as sodium salt) powder for injection
Oral > Solid > capsule: 500 mg (as sodium salt); 1 g (as sodium salt); 250 mg (as sodium salt)",Osteomyelitis or osteitis,J01CF02,,Added,cloxacillin,['cloxacillin']
cloxacillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid
Oral > Solid: 500 mg (as sodium salt) capsule; 1 g (as sodium salt) capsule
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid; 250 mg per 5 mL (as sodium salt) powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 250 mg in vial (as sodium salt) powder for injection
Oral > Solid > capsule: 500 mg (as sodium salt); 1 g (as sodium salt); 250 mg (as sodium salt)",Bacterial infection of joint,J01CF02,,Added,cloxacillin,['cloxacillin']
cloxacillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid
Oral > Solid: 500 mg (as sodium salt) capsule; 1 g (as sodium salt) capsule
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (as sodium salt) powder for oral liquid; 250 mg per 5 mL (as sodium salt) powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 250 mg in vial (as sodium salt) powder for injection
Oral > Solid > capsule: 500 mg (as sodium salt); 1 g (as sodium salt); 250 mg (as sodium salt)",Sepsis without septic shock,J01CF02,amikacin,Added,cloxacillin,['cloxacillin']
clozapine,Medicines for psychotic disorders,Oral > Solid: 25 mg; 50 mg; 100 mg; 200 mg,Schizophrenia or other primary psychotic disorders,N05AH02,,Added,clozapine,['clozapine']
coagulation factor IX,Coagulation factors,Parenteral > General injections > IV: 500 IU in vial powder for injection; 1000 IU in vial powder for injection,"Coagulation defects, purpura or other haemorrhagic or related conditions",B02BD01,,Added,coagulation factor ix,"['ix', 'coagulation factor ix', 'coagulation', 'factor']"
coagulation factor IX,Coagulation factors,Parenteral > General injections > IV: 500 IU in vial powder for injection; 1000 IU in vial powder for injection,Haemophilia B,B02BD04,,Added,coagulation factor ix,"['ix', 'coagulation factor ix', 'coagulation', 'factor']"
coagulation factor IX complex,Coagulation factors,,"Coagulation defects, purpura or other haemorrhagic or related conditions",,,Added,coagulation factor ix complex,"['coagulation factor ix complex', 'factor', 'complex', 'coagulation', 'ix']"
coagulation factor IX complex,Coagulation factors,,Haemophilia B,,,Added,coagulation factor ix complex,"['coagulation factor ix complex', 'factor', 'complex', 'coagulation', 'ix']"
coagulation factor VIII,Coagulation factors,Parenteral > General injections > IV: 250 IU in vial powder for injection; 500 IU in vial powder for injection; 1000 IU in vial powder for injection,Haemophilia A,B02BD02,,Added,coagulation factor viii,"['viii', 'factor', 'coagulation factor viii', 'coagulation']"
coal tar,Dermatological medicines > Medicines affecting skin differentiation and proliferation,Local > Topical > Solution: 5%,Psoriasis of unspecified type,D05AA,,Added,coal tar,"['coal tar', 'tar', 'coal']"
codeine,Opioid analgesics,Oral > Solid: 30 mg tablet (codeine phosphate),Pain,,,Added,codeine,['codeine']
colecalciferol,Vitamins and minerals,"Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
",Calcium deficiency,A11CC05,,Added,colecalciferol,['colecalciferol']
colecalciferol,Vitamins and minerals,"Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
",Vitamin D deficiency,A11CC05,,Added,colecalciferol,['colecalciferol']
colecalciferol,Vitamins and minerals,"Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
",Vitamin D deficiency,,,Added,colecalciferol,['colecalciferol']
colecalciferol,Vitamins and minerals,"Oral > Liquid: 400 IU per  mL
Oral > Solid: 400 IU; 1000 IU
",Calcium deficiency,,,Added,colecalciferol,['colecalciferol']
colistin (injection),Reserve group antibiotics,"Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium)
Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium) (equivalent to 34 mg colistin base activity)",Carbapenem resistant Acinetobacter baumannii,J01XB01,,Added,colistin (injection),"['colistin', 'colistin (injection)', '(injection)']"
colistin (injection),Reserve group antibiotics,"Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium)
Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium) (equivalent to 34 mg colistin base activity)",Carbapenem-resistant Pseudomonas aeruginosa,J01XB01,,Added,colistin (injection),"['colistin', 'colistin (injection)', '(injection)']"
colistin (injection),Reserve group antibiotics,"Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium)
Parenteral > General injections > unspecified: 1 million IU in vial (as colistemethate sodium) (equivalent to 34 mg colistin base activity)",Carbapenem resistant Enterobacterales,J01XB01,,Added,colistin (injection),"['colistin', 'colistin (injection)', '(injection)']"
compound sodium lactate solution,"Solutions correcting water, electrolyte and acid-base disturbances > Parenteral",Parenteral > General injections > IV: injectable solution,"Other specified disorders of fluid, electrolyte or acid-base balance",B05BB01,,Added,compound sodium lactate solution,"['compound sodium lactate solution', 'compound', 'sodium', 'solution', 'lactate']"
compound sodium lactate solution,"Solutions correcting water, electrolyte and acid-base disturbances > Parenteral",Parenteral > General injections > IV: injectable solution,Hypovolaemic shock,B05BB01,,Added,compound sodium lactate solution,"['compound sodium lactate solution', 'compound', 'sodium', 'solution', 'lactate']"
condoms,Barrier methods,-,Contact with health services for contraceptive management,,,Added,condoms,['condoms']
copper-containing intrauterine device,Intrauterine devices,-,Contact with health services for insertion of contraceptive device,G02BA02,,Added,copper-containing intrauterine device,"['intrauterine', 'device', 'copper-containing', 'copper-containing intrauterine device']"
cryoprecipitate (not pathogen-reduced),Blood and blood components,,Haemophilia A,,,Added,cryoprecipitate (not pathogen-reduced),"['(not', 'cryoprecipitate', 'cryoprecipitate (not pathogen-reduced)', 'pathogen-reduced)']"
cryoprecipitate (not pathogen-reduced),Blood and blood components,,"Coagulation defects, purpura or other haemorrhagic or related conditions",,,Added,cryoprecipitate (not pathogen-reduced),"['(not', 'cryoprecipitate', 'cryoprecipitate (not pathogen-reduced)', 'pathogen-reduced)']"
cryoprecipitate (not pathogen-reduced),Blood and blood components,,Von Willebrand disease,,,Added,cryoprecipitate (not pathogen-reduced),"['(not', 'cryoprecipitate', 'cryoprecipitate (not pathogen-reduced)', 'pathogen-reduced)']"
cryoprecipitate (not pathogen-reduced),Blood and blood components,,Obstetric haemorrhage,,,Added,cryoprecipitate (not pathogen-reduced),"['(not', 'cryoprecipitate', 'cryoprecipitate (not pathogen-reduced)', 'pathogen-reduced)']"
cryoprecipitate (pathogen-reduced),Blood and blood components,"Injection: frozen liquid in bag or lyophilized powder in vial containing:
> 50 IU Factor VIII
> 100 IU vWF
> 140 mg clottable fibrinogen per unit",Haemophilia A,B05AA02,,Added,cryoprecipitate (pathogen-reduced),"['cryoprecipitate', '(pathogen-reduced)', 'cryoprecipitate (pathogen-reduced)']"
cryoprecipitate (pathogen-reduced),Blood and blood components,"Injection: frozen liquid in bag or lyophilized powder in vial containing:
> 50 IU Factor VIII
> 100 IU vWF
> 140 mg clottable fibrinogen per unit","Coagulation defects, purpura or other haemorrhagic or related conditions",B05AA02,,Added,cryoprecipitate (pathogen-reduced),"['cryoprecipitate', '(pathogen-reduced)', 'cryoprecipitate (pathogen-reduced)']"
cryoprecipitate (pathogen-reduced),Blood and blood components,"Injection: frozen liquid in bag or lyophilized powder in vial containing:
> 50 IU Factor VIII
> 100 IU vWF
> 140 mg clottable fibrinogen per unit",Von Willebrand disease,B05AA02,,Added,cryoprecipitate (pathogen-reduced),"['cryoprecipitate', '(pathogen-reduced)', 'cryoprecipitate (pathogen-reduced)']"
cryoprecipitate (pathogen-reduced),Blood and blood components,"Injection: frozen liquid in bag or lyophilized powder in vial containing:
> 50 IU Factor VIII
> 100 IU vWF
> 140 mg clottable fibrinogen per unit",Obstetric haemorrhage,B05AA02,,Added,cryoprecipitate (pathogen-reduced),"['cryoprecipitate', '(pathogen-reduced)', 'cryoprecipitate (pathogen-reduced)']"
cyclizine,Medicines for other common symptoms in palliative care,"Oral > Solid: 50 mg tablet
Parenteral > General injections > unspecified: 50 mg per  mL",Palliative care,R06AE03,,Added,cyclizine,['cyclizine']
cyclopentolate,Diagnostic agents > Ophthalmic medicines,,Cycloplegic drug,,,Added,cyclopentolate,['cyclopentolate']
cyclopentolate,Ophthalmological preparations > Mydriatics,,Anterior uveitis,,,Added,cyclopentolate,['cyclopentolate']
cyclophosphamide,Cytotoxic medicines,"Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid > dosage form: 25 mg; 50 mg",Other specified malignant neoplasms of breast,L01AA01,,Added,cyclophosphamide,['cyclophosphamide']
cyclophosphamide,Cytotoxic medicines,"Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid > dosage form: 25 mg; 50 mg",Malignant trophoblastic neoplasms of placenta,L01AA01,,Added,cyclophosphamide,['cyclophosphamide']
cyclophosphamide,Cytotoxic medicines,"Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid > dosage form: 25 mg; 50 mg",Follicular lymphoma,L01AA01,,Added,cyclophosphamide,['cyclophosphamide']
